1,38,73,74,39,71,69,0,0
2,59,80,60,77,51,8,0,0
3,42,71,58,18,23,63,0,0
4,83,6,5,26,84,13,0,0
5,4,26,38,73,0,0,0,0
6,83,4,20,0,0,0,0,0
7,48,30,84,26,38,69,43,0
8,55,51,2,59,0,0,0,0
9,31,11,66,0,0,0,0,0
10,89,21,52,51,77,0,0,0
11,9,31,81,34,0,0,0,0
12,34,30,48,15,46,82,81,0
13,30,84,83,20,0,0,0,0
14,27,61,50,0,0,0,0,0
15,48,43,63,19,46,12,0,0
16,17,79,86,87,24,0,0,0
17,85,79,16,33,0,0,0,0
18,36,41,45,89,58,3,23,0
19,23,87,24,46,15,63,0,0
20,13,83,6,0,0,0,0,0
21,10,89,58,71,39,70,52,0
22,29,56,35,0,0,0,0,0
23,87,19,63,3,18,36,0,0
24,17,16,87,19,46,47,33,0
25,39,70,90,0,0,0,0,0
26,84,4,5,38,69,7,0,0
27,76,60,95,78,28,61,14,0
28,27,78,91,45,41,72,61,0
29,22,56,0,0,0,0,0,0
30,34,12,48,7,26,84,13,0
31,65,32,82,81,11,9,0,0
32,31,65,64,40,47,82,0,0
33,17,24,47,40,0,0,0,0
34,11,81,12,30,0,0,0,0
35,50,53,49,44,56,22,0,0
36,37,41,18,23,87,86,0,0
37,41,36,86,49,72,0,0,0
38,5,73,1,69,7,26,5,0
39,1,71,21,70,25,0,0,0
40,33,47,32,64,0,0,0,0
41,72,37,36,18,45,28,0,0
42,43,69,71,3,63,0,0,0
43,48,7,69,42,63,15,0,0
44,56,35,53,49,85,0,0,0
45,91,77,28,41,18,58,89,0
46,15,19,24,47,82,12,0,0
47,33,40,32,82,46,24,0,0
48,12,30,7,43,15,0,0,0
49,44,53,72,37,86,79,85,0
50,14,61,53,35,0,0,0,0
51,2,77,10,52,55,8,0,0
52,21,70,88,55,51,10,0,0
53,49,72,61,50,35,44,0,0
54,57,67,88,55,0,0,0,0
55,54,88,52,51,8,0,0,0
56,29,22,35,44,0,0,0,0
57,67,88,54,0,0,0,0,0
58,3,71,21,89,45,18,0,0
59,2,80,62,8,0,0,0,0
60,2,80,76,27,95,77,0,0
61,14,27,28,72,53,50,0,0
62,80,59,2,0,0,0,0,0
63,15,43,42,3,23,19,0,0
64,40,32,65,0,0,0,0,0
65,64,32,31,0,0,0,0,0
66,9,11,0,0,0,0,0,0
67,68,88,54,57,0,0,0,0
68,90,70,88,67,0,0,0,0
69,1,71,42,43,7,26,38,0
70,21,39,25,90,88,52,0,0
71,3,42,69,1,39,21,58,0
72,28,61,53,49,37,41,0,0
73,74,1,38,5,0,0,0,0
74,73,1,0,0,0,0,0,0
75,92,93,94,0,0,0,0,0
76,80,60,27,0,0,0,0,0
77,89,10,51,2,60,93,91,45
78,95,27,28,91,92,0,0,0
79,17,85,49,86,16,0,0,0
80,62,59,2,60,76,0,0,0
81,11,34,12,82,31,0,0,0
82,32,31,81,12,46,47,0,0
83,13,84,4,6,20,0,0,0
84,13,4,26,7,30,0,0,0
85,44,49,79,17,0,0,0,0
86,36,37,49,79,16,87,0,0
87,23,19,24,16,86,0,0,0
88,70,90,68,67,57,54,55,52
89,58,21,10,77,45,0,0,0
90,25,70,88,68,0,0,0,0
91,45,28,77,78,92,94,0,0
92,75,95,78,93,0,0,0,0
93,92,95,94,77,0,0,0,0
94,77,75,92,93,91,0,0,0
95,78,27,60,93,92,0,0,0